"ActivityDT","ClinicalEvent","SourceHost","SourceDatabase","SourceTable"
"01/06/2009",714,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","EPISODE_INDEX"
"01/06/2010",845,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","EPISODE_INDEX"
"01/06/2011",764,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","EPISODE_INDEX"
"01/06/2012",255,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","EPISODE_INDEX"
"01/06/2013",263,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","EPISODE_INDEX"
"01/06/2014",305,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","EPISODE_INDEX"
"01/06/2015",855,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","EPISODE_INDEX"
"01/06/2016",724,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","EPISODE_INDEX"
"01/06/2017",844,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","EPISODE_INDEX"
"01/07/1991",3,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","EPISODE_INDEX"
"01/07/1992",18,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","EPISODE_INDEX"
"01/07/1993",0,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","EPISODE_INDEX"
"01/07/1994",0,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","EPISODE_INDEX"
"01/07/1995",0,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","EPISODE_INDEX"
"01/07/1996",0,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","EPISODE_INDEX"
"01/07/1997",471,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","EPISODE_INDEX"
"01/07/1998",407,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","EPISODE_INDEX"
"01/07/1999",483,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","EPISODE_INDEX"
"01/07/2000",262,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","EPISODE_INDEX"
"01/07/2001",184,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","EPISODE_INDEX"
"01/07/2002",542,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","EPISODE_INDEX"
"01/07/2003",498,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","EPISODE_INDEX"
"01/07/2004",502,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","EPISODE_INDEX"
"01/07/2005",569,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","EPISODE_INDEX"
"01/07/2006",253,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","EPISODE_INDEX"
"01/07/2007",226,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","EPISODE_INDEX"
"01/07/2008",760,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","EPISODE_INDEX"
"01/07/2009",732,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","EPISODE_INDEX"
"01/07/2010",782,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","EPISODE_INDEX"
"01/07/2011",746,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","EPISODE_INDEX"
"01/07/2012",198,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","EPISODE_INDEX"
"01/07/2013",735,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","EPISODE_INDEX"
"01/07/2014",769,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","EPISODE_INDEX"
"01/07/2015",737,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","EPISODE_INDEX"
"01/07/2016",733,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","EPISODE_INDEX"
"01/07/2017",343,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","EPISODE_INDEX"
"01/08/1991",2,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","EPISODE_INDEX"
"01/08/1992",17,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","EPISODE_INDEX"
"01/08/1993",0,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","EPISODE_INDEX"
"01/08/1994",0,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","EPISODE_INDEX"
"01/08/1995",0,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","EPISODE_INDEX"
"01/08/1996",0,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","EPISODE_INDEX"
"01/08/1997",437,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","EPISODE_INDEX"
"01/08/1998",217,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","EPISODE_INDEX"
"01/08/1999",179,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","EPISODE_INDEX"
"01/08/2000",474,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","EPISODE_INDEX"
"01/08/2001",444,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","EPISODE_INDEX"
"01/08/2002",468,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","EPISODE_INDEX"
"01/08/2003",460,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","EPISODE_INDEX"
"01/08/2004",215,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","EPISODE_INDEX"
"01/08/2005",682,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","EPISODE_INDEX"
"01/08/2006",584,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","EPISODE_INDEX"
"01/08/2007",598,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","EPISODE_INDEX"
"01/08/2008",710,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","EPISODE_INDEX"
"01/08/2009",300,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","EPISODE_INDEX"
"01/08/2010",229,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","EPISODE_INDEX"
"01/08/2011",789,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","EPISODE_INDEX"
"01/08/2012",275,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","EPISODE_INDEX"
"01/08/2013",702,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","EPISODE_INDEX"
"01/08/2014",766,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","EPISODE_INDEX"
"01/08/2015",232,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","EPISODE_INDEX"
"01/08/2016",739,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","EPISODE_INDEX"
"01/08/2017",798,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","EPISODE_INDEX"
"01/09/1991",1,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","EPISODE_INDEX"
"01/09/1993",1,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","EPISODE_INDEX"
"01/09/1994",1,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","EPISODE_INDEX"
"01/09/1995",0,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","EPISODE_INDEX"
"01/09/1996",0,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","EPISODE_INDEX"
"01/09/1997",476,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","EPISODE_INDEX"
"01/09/1998",470,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","EPISODE_INDEX"
"01/09/1999",511,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","EPISODE_INDEX"
"01/09/2000",435,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","EPISODE_INDEX"
"01/09/2001",263,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","EPISODE_INDEX"
"01/09/2002",184,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","EPISODE_INDEX"
"01/09/2003",522,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","EPISODE_INDEX"
"01/09/2004",544,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","EPISODE_INDEX"
"01/09/2005",617,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","EPISODE_INDEX"
"01/09/2006",504,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","EPISODE_INDEX"
"01/09/2007",338,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","EPISODE_INDEX"
"01/09/2008",799,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","EPISODE_INDEX"
"01/09/2009",732,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","EPISODE_INDEX"
"01/09/2010",750,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","EPISODE_INDEX"
"01/09/2011",754,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","EPISODE_INDEX"
"01/09/2012",162,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","EPISODE_INDEX"
"01/09/2013",208,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","EPISODE_INDEX"
"01/09/2014",747,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","EPISODE_INDEX"
"01/09/2015",507,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","EPISODE_INDEX"
"01/09/2016",755,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","EPISODE_INDEX"
"01/09/2017",721,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","EPISODE_INDEX"
"01/10/1991",15,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","EPISODE_INDEX"
"01/10/1992",0,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","EPISODE_INDEX"
"01/10/1993",0,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","EPISODE_INDEX"
"01/10/1994",0,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","EPISODE_INDEX"
"01/10/1995",0,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","EPISODE_INDEX"
"01/10/1996",0,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","EPISODE_INDEX"
"01/10/1997",487,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","EPISODE_INDEX"
"01/10/1998",401,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","EPISODE_INDEX"
"01/10/1999",462,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","EPISODE_INDEX"
"01/10/2000",185,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","EPISODE_INDEX"
"01/10/2001",487,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","EPISODE_INDEX"
"01/10/2002",504,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","EPISODE_INDEX"
"01/10/2003",520,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","EPISODE_INDEX"
"01/10/2004",455,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","EPISODE_INDEX"
"01/10/2005",293,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","EPISODE_INDEX"
