"ActivityDT","ActivityCount","SourceHost","SourceDatabase","SourceTable"
"02/10/1993",1320,"oxnetdwp01.oxnet.nhs.uk","SUNQUEST","GLARK_VIEW"
"02/10/1994",1071,"oxnetdwp01.oxnet.nhs.uk","SUNQUEST","GLARK_VIEW"
"02/10/1995",7106,"oxnetdwp01.oxnet.nhs.uk","SUNQUEST","GLARK_VIEW"
"02/10/1996",6210,"oxnetdwp01.oxnet.nhs.uk","SUNQUEST","GLARK_VIEW"
"02/10/1997",6878,"oxnetdwp01.oxnet.nhs.uk","SUNQUEST","GLARK_VIEW"
"02/10/1998",6822,"oxnetdwp01.oxnet.nhs.uk","SUNQUEST","GLARK_VIEW"
"02/10/1999",769,"oxnetdwp01.oxnet.nhs.uk","SUNQUEST","GLARK_VIEW"
"02/10/2000",1830,"oxnetdwp01.oxnet.nhs.uk","SUNQUEST","GLARK_VIEW"
"02/10/2001",5559,"oxnetdwp01.oxnet.nhs.uk","SUNQUEST","GLARK_VIEW"
"02/10/2002",4956,"oxnetdwp01.oxnet.nhs.uk","SUNQUEST","GLARK_VIEW"
